itemCollection_fp_eae_ef_medparts,type,qty,weight
mechdef_assassin_ASN-101X,MechPart,1,1
mechdef_blackjack_BJ-1X,MechPart,1,1
mechdef_centurion_CN9-ALX1,MechPart,1,1
mechdef_crab_CRB-27bX,MechPart,1,1
mechdef_enforcer_ENF-4RX1,MechPart,1,1
mechdef_griffin_GRF-1SX,MechPart,1,1
mechdef_griffin_GRF-4NX,MechPart,1,1
mechdef_hatchetman_HCT-3FX1,MechPart,1,1
mechdef_hunchback_HBK-4PX,MechPart,1,1
mechdef_kintaro_KTO-18X1,MechPart,1,1
mechdef_kintaro_KTO-18X2,MechPart,1,1
mechdef_phoenixhawk_PXH-1bX,MechPart,1,1
mechdef_shadowhawk_SHD-2DX1,MechPart,1,1
mechdef_vulcan_VL-5TX,MechPart,1,1
mechdef_wolverine_WVR-6KX1,MechPart,1,1
mechdef_apollo_APL-3TX,MechPart,1,1
mechdef_assassin_ASN-26X,MechPart,1,1
mechdef_assassin_ASN-27X,MechPart,1,1
mechdef_blitzkrieg_BTZ-3FX,MechPart,1,1
mechdef_chameleon_CLN-8VX,MechPart,1,1
mechdef_chimera_CMA-1SX,MechPart,1,1
mechdef_clint_CLNT-2-3TX,MechPart,1,1
mechdef_clint_CLNT-2-3UX,MechPart,1,1
mechdef_crab_CRB-27slX,MechPart,1,1
mechdef_dervish_DV-6MdX,MechPart,1,1
mechdef_enfield_END-6QX,MechPart,1,1
mechdef_gladiator_GLD-3RX,MechPart,1,1
mechdef_gladiator_GLD-4RX,MechPart,1,1
mechdef_hoplite_HOP-4CX,MechPart,1,1
mechdef_hoplite_HOP-4DX,MechPart,1,1
mechdef_icarusii_ICR-1SX,MechPart,1,1
mechdef_icarusii_ICR-2SX,MechPart,1,1
mechdef_komodo_KIM-2X,MechPart,1,1
mechdef_kyudo_KY2-D-02X,MechPart,1,1
mechdef_kyudo_KY2-D-03X,MechPart,1,1
mechdef_lynx_LNX-9QX,MechPart,1,1
mechdef_osprey_OSP-15X,MechPart,1,1
mechdef_sentinel_STN-3LbX,MechPart,1,1
mechdef_sentinel_STN-3LX,MechPart,1,1
mechdef_shayu_SYU-2BX,MechPart,1,1
mechdef_starslayer_STY-2CX,MechPart,1,1
mechdef_starslayer_STY-3CX,MechPart,1,1
mechdef_strider_SR1-0BX,MechPart,1,1
mechdef_strider_SR1-0FX,MechPart,1,1
mechdef_strider_SR1-0X,MechPart,1,1
mechdef_swordsman_SWD-2X,MechPart,1,1
mechdef_trebuchet_TBT-5NX,MechPart,1,1
mechdef_whitworth_WTH-1SX,MechPart,1,1
mechdef_whitworth_WTH-1X,MechPart,1,1
mechdef_wraith_TR-1X,MechPart,1,1
mechdef_wyvern_WVE-5NbX,MechPart,1,1
mechdef_wyvern_WVE-9NX,MechPart,1,1
