itemCollection_fp_eae_eas_heavyasltmechs,type,qty,weight
mechdef_banes_BAN-S,Mech,1,1
mechdef_bloodasps_BAS-S,Mech,1,1
mechdef_direwolfs_DWF-S1,Mech,1,1
mechdef_direwolfs_DWF-S2,Mech,1,1
mechdef_ebonjaguars_EBJ-S,Mech,1,1
mechdef_executioners_EXE-S,Mech,1,1
mechdef_gargoyles_GAR-S,Mech,1,1
mechdef_hellbringers_HBR-S,Mech,1,1
mechdef_hellbringers_HBR-S2,Mech,1,1
mechdef_hellfires_HLF-S1,Mech,1,1
mechdef_hellfires_HLF-S2,Mech,1,1
mechdef_highlanders_HGN-CS,Mech,1,1
mechdef_kodiaks_KDK-S,Mech,1,1
mechdef_madcatmkiis_MCII-S,Mech,1,1
mechdef_madcats_MC-S,Mech,1,1
mechdef_madcats_MC-S2,Mech,1,1
mechdef_maddogs_MDD-S,Mech,1,1
mechdef_maddogs_MDD-S2,Mech,1,1
mechdef_marauderiics_MAD-IIC-S,Mech,1,1
mechdef_nightgyrs_NTG-S,Mech,1,1
mechdef_orions_ON1-CS,Mech,1,1
mechdef_osteons_OS-S1,Mech,1,1
mechdef_osteons_OS-S2,Mech,1,1
mechdef_riflemaniics_RFL-CS,Mech,1,1
mechdef_stonerhinos_STR-S,Mech,1,1
mechdef_summoners_SMN-S1,Mech,1,1
mechdef_summoners_SMN-S2,Mech,1,1
mechdef_sunspiders_SNS-S1,Mech,1,1
mechdef_sunspiders_SNS-S2,Mech,1,1
mechdef_sunspiders_SNS-S3,Mech,1,1
mechdef_supernovas_SNV-S1,Mech,1,1
mechdef_supernovas_SNV-S2,Mech,1,1
mechdef_turkinas_TKN-S,Mech,1,1
mechdef_warhammers_WHM-IIC-S,Mech,1,1
mechdef_warhawks_WHK-S,Mech,1,1
mechdef_annihilators_ANH-ES,Mech,1,1
mechdef_archers_ARC-RS,Mech,1,1
mechdef_archers_ARC-SS,Mech,1,1
mechdef_arguss_AGS-S,Mech,1,1
mechdef_atlass_AS7-S,Mech,1,1
mechdef_axmans_AXM-S,Mech,1,1
mechdef_banshees_BNC-S,Mech,1,1
mechdef_banshees_BNC-S2,Mech,1,1
mechdef_blackknights_BL-KNT-S,Mech,1,1
mechdef_corsairs_COR-S,Mech,1,1
mechdef_crusaders_CRD-S,Mech,1,1
mechdef_crusaders_CRD-S2,Mech,1,1
mechdef_fafnirs_FNR-S,Mech,1,1
mechdef_hatamotochis_HTM-S,Mech,1,1
mechdef_jagermechs_JM6-SS,Mech,1,1
mechdef_kingcrabs_KGC-S,Mech,1,1
mechdef_laohus_LHU-S,Mech,1,1
mechdef_longbows_LGB-S1,Mech,1,1
mechdef_longbows_LGB-S2,Mech,1,1
mechdef_longbows_LGB-S3,Mech,1,1
mechdef_longbows_LGB-S4,Mech,1,1
mechdef_marauderIIs_MAD-AS,Mech,1,1
mechdef_marauderIIs_MAD-BS,Mech,1,1
mechdef_marauders_MAD-S1,Mech,1,1
mechdef_marauders_MAD-S2,Mech,1,1
mechdef_marauders_MAD-S3,Mech,1,1
mechdef_maulers_MAL-S,Mech,1,1
mechdef_ostwars_OWR-S,Mech,1,1
mechdef_riflemans_RFL-S,Mech,1,1
mechdef_thanatoss_TNS-S,Mech,1,1
mechdef_thunderbolts_TDR-S,Mech,1,1
mechdef_warhammers_WHM-S,Mech,1,1
mechdef_zeuss_ZEU-XS,Mech,1,1
mechdef_zeuss_ZEU-YS,Mech,1,1
mechdef_archangels_C-ANG-S,Mech,1,1
mechdef_archangels_C-ANG-S2,Mech,1,1
mechdef_archangels_C-ANG-S3,Mech,1,1
mechdef_devas_C-DVA-S1,Mech,1,1
mechdef_devas_C-DVA-S2,Mech,1,1
mechdef_devas_C-DVA-S3,Mech,1,1
mechdef_grigoris_C-GRG-S1,Mech,1,1
mechdef_grigoris_C-GRG-S2,Mech,1,1
mechdef_seraphs_C-SRP-S1,Mech,1,1
mechdef_seraphs_C-SRP-S2,Mech,1,1
mechdef_seraphs_C-SRP-S3,Mech,1,1
mechdef_albatross_ALB-S1,Mech,1,1
mechdef_albatross_ALB-S2,Mech,1,1
mechdef_annihilator_ANH-S1,Mech,1,1
mechdef_annihilator_ANH-S2,Mech,1,1
mechdef_annihilator_ANH-S3,Mech,1,1
mechdef_anvil_ANV-S,Mech,1,1
mechdef_anvil_ANV-S2,Mech,1,1
mechdef_argus_AGS-S2,Mech,1,1
